,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,INTC,Intel Corporation,,23.70 +3.02 (+14.60%),3.02,+14.60%,241.656M,92.165M,102.621B,-,-51.63%,
1,FQVLF,First Quantum Minerals Ltd.,,14.10 +1.55 (+12.35%),1.55,+12.35%,32679,186451,11.762B,-,19.08%,
2,FN,Fabrinet,,223.66 +21.78 (+10.79%),21.78,+10.79%,1.716M,694106,8.049B,25.02,1.99%,
3,AG,First Majestic Silver Corp.,,6.68 +0.54 (+8.79%),0.54,+8.79%,30.8M,17.22M,3.234B,-,13.70%,
4,CPRI,Capri Holdings Limited,,21.12 +1.64 (+8.42%),1.64,+8.42%,5.834M,3.396M,2.49B,-,-58.49%,
5,MRCY,"Mercury Systems, Inc.",,45.08 +2.98 (+7.08%),2.98,+7.08%,799357,522350,2.69B,-,43.15%,
6,DG,Dollar General Corporation,,79.95 +5.10 (+6.81%),5.1,+6.81%,8.55M,3.674M,17.583B,13.19,-50.12%,
7,DLTR,"Dollar Tree, Inc.",,66.00 +4.08 (+6.59%),4.08,+6.59%,5.675M,2.963M,14.193B,-,-50.55%,
8,ORLA,Orla Mining Ltd.,,8.29 +0.44 (+5.61%),0.44,+5.61%,1.407M,760468,2.666B,-,112.74%,
9,ALGM,"Allegro MicroSystems, Inc.",,26.24 +1.30 (+5.21%),1.3,+5.21%,3.77M,3.066M,4.831B,-,-12.28%,
10,SLNO,"Soleno Therapeutics, Inc.",,49.03 +2.33 (+4.99%),2.33,+4.99%,1.058M,509431,2.248B,-,10.85%,
11,NEM,Newmont Corporation,,45.65 +2.02 (+4.63%),2.02,+4.63%,10.193M,10.071M,51.441B,15.96,27.54%,
12,SSRM,SSR Mining Inc.,,10.70 +0.46 (+4.49%),0.46,+4.49%,3.329M,2.743M,2.166B,-,149.76%,
13,EGO,Eldorado Gold Corporation,,15.30 +0.65 (+4.44%),0.65,+4.44%,1.575M,1.645M,3.136B,10.48,14.81%,
14,BVN,Compañía de Minas Buenaventura S.A.A.,,14.21 +0.57 (+4.18%),0.57,+4.18%,729422,943853,3.605B,9.80,-21.20%,
15,CDE,"Coeur Mining, Inc.",,5.94 +0.23 (+4.03%),0.23,+4.03%,24.894M,16.678M,3.793B,39.60,80.13%,
16,ALKT,"Alkami Technology, Inc.",,25.25 +0.97 (+4.00%),0.97,+4.00%,2.416M,865122,2.581B,-,3.58%,
17,AES,The AES Corporation,,12.28 +0.45 (+3.80%),0.45,+3.80%,15.481M,15.217M,8.742B,5.18,-21.29%,
18,VOD,Vodafone Group Public Limited Company,,9.50 +0.34 (+3.71%),0.34,+3.71%,16.919M,9.455M,23.765B,10.00,7.89%,
19,HL,Hecla Mining Company,,5.77 +0.20 (+3.59%),0.2,+3.59%,37.907M,17.394M,3.646B,96.17,28.94%,
20,ABM,ABM Industries Incorporated,,47.06 +1.55 (+3.41%),1.55,+3.41%,957451,403082,2.928B,37.06,9.16%,
21,ZBH,"Zimmer Biomet Holdings, Inc.",,107.57 +3.54 (+3.40%),3.54,+3.40%,2.063M,1.881M,21.413B,24.28,-17.26%,
22,SARO,"StandardAero, Inc.",,28.98 +0.92 (+3.28%),0.92,+3.28%,1.657M,1.585M,9.693B,724.50,-14.32%,
23,NOC,Northrop Grumman Corporation,,490.59 +15.49 (+3.26%),15.49,+3.26%,1.193M,947201,71.016B,17.30,3.09%,
24,CBOE,"Cboe Global Markets, Inc.",,215.13 +6.63 (+3.18%),6.63,+3.18%,1.054M,810813,22.525B,29.84,15.11%,
25,RTO,Rentokil Initial plc,,21.39 +0.63 (+3.03%),0.63,+3.03%,1.495M,722100,10.781B,27.42,-32.68%,
